cpu,memory,error_rate,latency,failed
16.83,33.95,0.0056,157.3,0
20.08,31.28,0.0237,132.2,0
84.81,76.96,0.1048,373.3,1
30.99,33.98,0.0155,39.7,0
84.77,86.28,0.1082,348.7,1
71.08,65.18,0.0447,282.5,1
41.93,29.66,0.0308,76.8,0
85.93,89.36,0.0705,271.5,1
72.81,85.96,0.1123,388.5,0
98.51,92.36,0.1393,783.4,1
69.92,67.44,0.0268,187.7,0
44.12,43.9,0.0109,164.3,0
90.8,90.27,0.0825,266.2,1
61.56,76.18,0.0503,163.4,0
76.05,81.73,0.09,250.8,1
100,93.37,0.2081,650.2,1
76.97,86.69,0.0713,432.1,1
49.5,72.75,0.0207,159.5,1
67.71,75.44,0.0504,180.6,0
90.4,96.9,0.2331,808.1,1
56.29,66.71,0.0301,191.8,0
18.98,66.36,0.0303,194.8,0
73.32,78.7,0.0261,158.2,0
87.49,93.96,0.2893,635.0,1
52.87,67.31,0.067,163.1,1
44.61,37.68,0.0259,118.0,0
88.71,94.49,0.1927,774.1,1
19.82,31.11,0.01,176.3,0
81.43,95.4,0.1002,236.9,1
53.88,52.78,0.0089,106.4,0
90.08,97.26,0.1085,638.9,1
75.01,84.6,0.0959,343.6,0
82.83,79.4,0.0629,300.1,1
67.67,65.55,0.0454,267.7,0
73.24,57.08,0.0599,190.5,0
33.89,21.14,0.0226,94.8,0
49.71,60.39,0.0354,298.9,0
87.85,75.74,0.1173,294.9,1
76.91,94.43,0.0583,442.2,0
60.5,57.63,0.0512,191.9,0
90.55,96.49,0.2134,463.7,1
78.55,90.96,0.0707,299.1,1
96.04,100,0.2484,647.3,1
66.72,62.01,0.0257,150.2,0
69.53,66.04,0.0438,183.3,0
55.79,78.77,0.0489,164.2,0
90.32,93.02,0.0969,403.6,1
92.86,97.46,0.2654,508.5,1
74.22,80.33,0.1097,262.7,0
81.19,84.1,0.068,344.7,1
93.72,100,0.1601,565.4,1
63.4,62.72,0.0477,225.1,0
55.53,48.1,0.0237,53.0,0
75.56,80.55,0.0991,306.6,1
60.6,36.77,0.0309,155.2,0
44.75,30.59,0.017,61.9,0
51.72,27.67,0.0172,131.8,0
53.3,72.67,0.0476,184.6,0
29.99,40.68,0.0187,110.1,0
84.57,90.65,0.1026,338.6,1
90.96,100.0,0.2163,527.0,1
92.85,96.63,0.1658,588.1,1
85.95,89.9,0.0692,262.4,1
93.57,95.68,0.2566,440.5,1
92.71,93.25,0.2974,609.4,1
58.84,72.68,0.0684,263.9,1
90.44,90.16,0.0662,304.4,1
84.24,77.4,0.1102,335.6,1
26.33,59.09,0.0073,45.9,0
72.18,81.07,0.0879,349.6,1
88.16,96.59,0.0685,362.6,1
21.87,28.2,0.0018,39.7,0
84.56,84.73,0.1025,431.8,1
65.42,78.71,0.062,152.3,1
36.25,33.44,0.0177,106.4,0
82.42,73.6,0.0687,397.7,1
48.45,29.87,0.0206,128.9,0
34.79,38.02,0.0135,72.2,0
96.5,97.38,0.19,526.4,1
44.04,45.44,0.0184,88.5,0
54.79,58.8,0.0374,290.5,0
80.86,84.51,0.0598,448.4,1
80.38,80.0,0.1126,446.4,0
71.63,63.19,0.0573,204.2,0
99.03,93.97,0.2012,547.8,1
65.12,62.08,0.0576,163.1,0
63.88,55.69,0.0454,236.8,0
59.6,72.14,0.0292,234.5,0
99.48,96.74,0.2748,602.6,1
91.44,89.71,0.0823,285.8,1
28.57,22.17,0.0168,101.8,0
50.55,76.62,0.0485,176.3,0
53.75,42.72,0.0171,124.0,0
96.77,92.99,0.1592,794.1,1
90.12,81.65,0.1209,363.6,0
98.7,97.91,0.252,482.1,1
66.02,78.51,0.0482,188.1,0
87.76,92.98,0.2112,778.9,1
99.38,91.25,0.2766,710.7,1
97.56,98.19,0.1727,723.2,1
79.79,92.99,0.1164,288.3,0
64.66,69.07,0.0386,275.0,0
20.06,60.9,0.0108,114.8,0
71.25,72.13,0.0589,240.1,0
70.82,57.08,0.0512,216.6,0
84.58,91.46,0.2328,799.9,1
51.03,72.72,0.0344,162.5,0
73.22,67.94,0.0628,170.0,0
23.82,22.26,0.0327,129.4,0
36.98,30.61,0.023,164.8,0
17.7,43.19,0.0124,136.1,0
53.62,62.0,0.0512,236.5,0
50.89,26.61,0.0258,197.2,0
89.79,95.2,0.1819,424.1,1
86.96,99.56,0.1192,442.1,1
85.06,81.42,0.109,430.7,1
39.44,30.95,0.0253,94.1,0
70.75,74.23,0.073,285.9,0
69.3,79.04,0.1049,417.1,1
17.76,43.12,0.0139,135.7,0
53.08,26.77,0.0297,61.7,0
88.23,98.26,0.1226,578.7,1
26.7,65.37,0.0058,72.2,0
16.16,53.62,0.0112,119.3,0
31.18,52.64,0.0173,115.1,0
91.13,93.89,0.2951,463.2,1
97.25,91.67,0.2162,602.9,1
51.31,72.66,0.048,165.0,0
22.21,27.59,0.0272,163.8,0
94.51,100,0.2268,792.2,1
91.66,92.27,0.1545,404.7,1
71.39,92.5,0.1128,388.8,1
98.64,97.55,0.1372,654.4,1
91.61,76.78,0.0963,252.4,1
77.09,89.81,0.0981,255.9,1
84.81,86.7,0.1119,443.4,1
87.51,96.4,0.1132,631.7,1
42.79,37.91,0.0196,103.8,0
75.16,59.83,0.0351,274.7,0
66.54,59.74,0.0245,248.5,0
73.2,72.13,0.0605,283.7,0
58.72,78.79,0.0739,231.9,0
72.67,56.37,0.0403,189.0,0
55.71,77.44,0.0259,196.7,0
31.74,36.1,0.0121,70.8,0
84.38,78.57,0.0696,396.2,1
16.29,29.4,0.0096,180.5,0
15.59,40.51,0.0329,99.2,0
66.71,62.95,0.0203,197.3,0
31.59,39.22,0.0287,190.9,0
49.9,54.34,0.0107,67.8,0
100,96.56,0.1318,442.0,1
72.04,61.04,0.037,201.2,0
55.52,35.91,0.0098,100.7,0
63.31,65.75,0.0672,240.8,0
76.13,77.36,0.0948,293.0,1
82.98,83.32,0.0949,418.3,0
72.09,59.68,0.049,262.5,1
43.28,50.85,0.0383,101.7,0
75.24,76.32,0.0991,347.7,1
82.57,95.83,0.069,289.6,0
81.99,90.03,0.0905,295.0,0
78.28,77.64,0.0628,289.9,1
65.4,58.23,0.0387,282.9,0
83.97,84.56,0.0944,337.6,1
91.76,97.33,0.2706,596.3,1
86.13,80.15,0.0945,346.9,0
52.44,72.07,0.0609,218.6,0
83.53,89.5,0.0837,377.1,1
89.4,89.55,0.113,568.3,1
84.93,91.49,0.1179,266.9,1
55.37,57.87,0.0704,297.0,0
73.79,76.55,0.1187,341.7,1
56.0,63.7,0.0229,238.1,0
85.19,90.85,0.1738,555.8,1
72.19,83.56,0.1083,301.7,1
79.32,80.47,0.0622,382.7,1
86.51,98.5,0.1291,786.3,1
78.21,84.52,0.0804,359.2,1
87.8,90.64,0.1009,258.4,1
42.62,26.26,0.0273,124.2,0
22.4,39.85,0.0184,110.8,0
46.67,42.85,0.0274,198.1,0
79.98,88.45,0.1153,377.3,1
75.32,93.73,0.0693,325.1,0
